Atleta
ADRIANO CAVALCANTE
ANGELLUS SILVA
FRANCO WILLIAM PAESE
LUIZ HENRIQUE RODRIGUES SOUSA
PEDRO WILLIAM
CORREIA STEPHANIE
RODRIGO LEITZKE
SOUZA MAYANY
RODRIGO LEME
BRUNO DIANINI
OTAVIO DORNELAS
PAVAN BRUNA
GONGRA LARISSA
MIRANDA MILENA
PIETRO SANTOS
JOAO FRANCK
DUARTE DIANA
JACINTHO FRANCYNNE
VASQUEZ LAIS
LAWRENZ JULIA
ROBERT DOS ANJOS
ALVARO BARBOSA
COSTA MARIANA
PINTO ARIANE
JULIA PARADA
FERREIRA ARIELE
ALEXANDRE MONTEIRO
GUSTAVO NICOMEDES
TEIXEIRA ISABELLA
PEDRO HUGO BAPTISTA
LUCAS FRANÇA
FANT GIOVANNA
MATHAUS MESQUITA CAMPOS
RAMALHO KEYLA
MÜLLER LAURA
SILVA ROBERTA
FILIPI RAMME
AQUINO MARIANA
FLAVIO BEATRIZ
PAQUIARDI ISABELA
CIPRIANO MAIRA
GUILHERME SABINO ALEXANDRE
KUDIESS JULIA
MATIAS PROVENSI
CORRÊA ANA BEATRIZ
SERGIO CAMARGO
CUTTINO DANIELLE
EDUARDO CARISIO
LEITE EDUARDA
MATHEUS SANTOS
MAURICIO LUIZ SOUZA
GUSTAVO BONATTO
MARIANO JANAÍNA
LUCAS BATISTA DE SOUZA
SILVA MARCELLE
CRUZ LETICIA STEPHANE
JONADABE CARNEIRO
ERICK COSTA
VICTOR COSTA
LEANDRO TEIXEIRA
RAPHAEL MARCARINI
MATHEUS BENDER
STEDILE IZADORA
THIAGO ALVES
GEOVANE KUHNEN
CARVALHO JAQUELINE
LEANDRO VISSOTTO
HENRIQUE HONORATO
FAHEL JULIA
FERNANDO KRELING
RAPHAEL OLIVEIRA
VASCONCELOS GLAYCE
LETÍCIA LIMA
JUKOSKI SILVA PIETRA
RIAD RIBEIRO
FELIPE VARELA
PAULO VINÍCIOS FERREIRA SILVA
JANKE VANESSA
LUCAS BARRETO
BUIJS ANNE ELISE
RICARDO SCHUEROFF
PICHORIM RAYANI
MORAES BRUNA
SCHOOSLER KARINE
SILVA MILKA
CIDRÃO SONALY
KRACHEFSKI ANDRESSA
MAURICIO BORGES
JOAO MOSSA
HELDES PRISCILA
LUCAS BORGES
MARIANO LIA
RENATO SANTOS
LUIS SILVA
LUAN MOTA DA SILVA
